Place,Car No.,Team (EN),Team (JP),Time,Laps,# of Cones,Off Course/Missed Slalom,Other Time Penalty,Other Point Penalty,Adj. Time,Endurance Score
1,E02,Nagoya Institute of Technology EV,名古屋工業大学EV,1592.703,20.0,3.0,0.0,0.000,0.0,1598.703,275.0
2,E03,The University of Tokyo EV,東京大学EV,1549.749,20.0,11.0,0.0,0.000,0.0,1609.749,269.47
3,E08,Jilin University EV,Jilin University EV,1672.605,20.0,7.0,0.0,0.000,0.0,1686.605,233.01
4,E01,Nagoya University EV,名古屋大学EV,1642.634,20.0,3.0,0.0,120.000,0.0,1768.634,197.6
5,E12,Shizuoka University EV,静岡大学EV,1780.318,20.0,3.0,0.0,0.000,0.0,1786.318,190.39
6,E06,University of Toyama EV,富山大学EV,1908.253,20.0,0.0,0.0,0.000,0.0,1908.253,144.32
7,E21,Yokohama National University EV,横浜国立大学EV,1963.691,20.0,0.0,0.0,0.000,0.0,1963.691,125.27
8,E07,University of Yamanashi EV,山梨大学EV,2096.599,20.0,2.0,0.0,0.000,0.0,2100.599,82.52
9,E33,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,2233.735,20.0,4.0,1.0,131.000,0.0,2392.735,25.0
9,E16,National Taiwan University EV,National Taiwan University EV,2681.589,20.0,0.0,0.0,0.000,0.0,2681.589,25.0
11,E05,Tohoku University EV,東北大学EV,1821.188,19.0,7.0,3.0,0.000,0.0,1895.188,19.0
12,E04,Sophia University EV,上智大学EV,1186.422,13.0,5.0,1.0,0.000,0.0,1216.422,13.0
13,E31,National Yang Ming Chiao Tung University EV,National Yang Ming Chiao Tung University EV,889.226,8.0,2.0,0.0,15.000,0.0,908.226,8.0
,E09,Nissan Automobile Technical College Kyoto EV,日産京都自動車大学校EV,,,,,0.000,,0.0,
,E10,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,,,,,0.000,,0.0,
,E11,Aichi Institute of Technology EV,愛知工業大学EV,,,,,0.000,,0.0,
,E13,University of Fukui EV,福井大学EV,,,,,0.000,,0.0,
,E14,Institute of Technologists EV,ものつくり大学EV,,,,,0.000,,0.0,
,E18,Tokyo University of Technology EV,東京工科大学EV,,,,,0.000,,0.0,
,E19,"National Institute of Technology, Ichinoseki College / Iwate University EV",一関工業高等専門学校 / 岩手大学EV,,,,,0.000,,0.0,
,E20,Kanagawa Institute of Technology EV,神奈川工科大学EV,,,,,0.000,,0.0,
,E22,Toyota Mobility Engineering College Nagoya EV,トヨタ名古屋自動車大学校,,,,,0.000,,0.0,
,E23,National Institute of Technology Asahikawa College EV,旭川工業高等専門学校EV,,,,,0.000,,0.0,
,E26,Rajshahi University of Engineering & Technology(RUET) EV,Rajshahi University of Engineering & Technology(RUET) EV,,,,,0.000,,0.0,
,E35,Prince of Songkla University EV,Prince of Songkla UniversityEV,,,,,0.000,,0.0,
